,id,name,employment_bus,employment_car,education_bus,education_car,healthcare_bus,healthcare_car,total_bus,total_car,employment_ratio,education_ratio,healthcare_ratio,ratio
115,E09000017,Hillingdon,285.0,2112.0,163.0,1280.0,112.0,500.0,560.0,3884.0,0.074777789704479,0.06995501022494889,0.1118076300843925,0.0769061198591995
116,E09000018,Hounslow,440.0,1978.0,198.0,1322.0,136.0,520.0,774.0,3820.0,0.1178144582476089,0.0846783980308776,0.12926056372815378,0.10873776853410409
117,E09000019,Islington,862.0,988.0,510.0,738.0,252.0,267.0,1624.0,1980.0,0.2512592592592592,0.23922067268252672,0.2453106806393564,0.2458005263748737
118,E09000020,Kensington and Chelsea,730.0,1186.0,403.0,745.0,195.0,310.0,1322.0,2241.0,0.19211363181497848,0.1755679091584009,0.2022768875849445,0.1833399863436436
119,E09000021,Kingston upon Thames,162.0,1208.0,92.0,818.0,33.0,315.0,287.0,2321.0,0.0754667320614627,0.0737595599859166,0.058199705631729805,0.0723537109002558
120,E09000022,Lambeth,949.0,1665.0,537.0,1102.0,268.0,546.0,1743.0,3309.0,0.2893532767466457,0.2662743929688664,0.28179803571582546,0.2784976235831901
121,E09000023,Lewisham,191.0,1299.0,141.0,958.0,56.0,376.0,384.0,2633.0,0.0661285142266764,0.0740455877528867,0.0653231175748496,0.0676375120791099
122,E09000024,Merton,480.0,1245.0,284.0,797.0,130.0,358.0,886.0,2379.0,0.178142975483234,0.1774206832932494,0.1783550105750206,0.1770189010896211
123,E09000025,Newham,729.0,1480.0,471.0,1008.0,226.0,389.0,1419.0,2877.0,0.24892219874856392,0.24276146899741147,0.2752624457992371,0.2489610063163156
124,E09000026,Redbridge,412.0,4244.0,272.0,2846.0,137.0,1179.0,821.0,8269.0,0.6844551013959369,0.5427939876215739,1.1111111111111112,0.6755169317397854
125,E09000027,Richmond upon Thames,230.0,3827.0,128.0,2380.0,72.0,1019.0,420.0,7226.0,0.6507076181872931,0.9900299102691925,0.0936280884265279,0.7355537720706261
126,E09000028,Southwark,1159.0,1692.0,631.0,1064.0,333.0,565.0,2123.0,3315.0,0.3372134194919005,0.2950801869717811,0.33864223342762273,0.32299227353919147
127,E09000029,Sutton,186.0,2136.0,99.0,1304.0,46.0,595.0,321.0,4035.0,0.2000270160265468,0.192074427368545,0.2380308096719949,0.2015505962796457
128,E09000030,Tower Hamlets,877.0,3492.0,547.0,2333.0,278.0,1036.0,1702.0,6831.0,1.3728673060530436,1.7169568106312294,2.172608518730744,1.5529014934742464
129,E09000031,Waltham Forest,571.0,3881.0,380.0,2561.0,186.0,1118.0,1137.0,7560.0,2.647930387962117,1.6834018398903896,3.990228013029316,2.3316700936384693
130,E09000032,Wandsworth,529.0,3322.0,313.0,1950.0,143.0,958.0,985.0,6206.0,1.8784356759915473,1.0704584344425034,2.44321085558199,1.5566703017084698
131,E09000033,Westminster,1122.0,3607.0,700.0,2131.0,326.0,1072.0,2136.0,6810.0,3.530257892396621,2.276463336074907,5.298618881677803,3.159276068495058
132,E10000003,Cambridgeshire,71.0,652.0,47.0,568.0,19.0,132.0,136.0,1346.0,0.1650943396226415,0.1291208791208791,0.2134831460674157,0.1535756154747948
